,x,Q,z,T_t,R2
0,0.12,1.2727922061357855,0.15,0.5249999999999999,0.269222217688886
1,0.12,1.2727922061357855,0.15,0.8749999999999998,0.2674745872960066
2,0.12,1.2727922061357855,0.15,1.2249999999999999,0.2517923182414673
3,0.12,1.2727922061357855,0.15,1.5749999999999997,0.2229413547268305
4,0.12,1.2727922061357855,0.15,1.9249999999999996,0.25043425516391
5,0.12,1.2727922061357855,0.15,2.2749999999999995,0.2685282046129607
6,0.12,1.2727922061357855,0.15,2.624999999999999,0.20910282191456442
7,0.12,1.2727922061357855,0.15,2.974999999999999,0.2835007866417355
8,0.12,1.2727922061357855,0.25,0.175,0.21563577552633853
9,0.12,1.2727922061357855,0.25,0.5249999999999999,0.21523139314463058
10,0.12,1.2727922061357855,0.25,0.8749999999999998,0.23190428805570507
11,0.12,1.2727922061357855,0.25,1.2249999999999999,0.2426277544559275
12,0.12,1.2727922061357855,0.25,1.5749999999999997,0.259837349164152
13,0.12,1.2727922061357855,0.25,1.9249999999999996,0.2200849893397918
14,0.12,1.2727922061357855,0.25,2.2749999999999995,0.2648696540218936
15,0.12,1.2727922061357855,0.25,2.624999999999999,0.24672529511306915
16,0.12,1.2727922061357855,0.25,2.974999999999999,0.39490994080400993
17,0.12,1.2727922061357855,0.35,0.175,0.22419095356398927
18,0.12,1.2727922061357855,0.35,0.5249999999999999,0.21185870226396933
19,0.12,1.2727922061357855,0.35,0.8749999999999998,0.20643093220374087
20,0.12,1.2727922061357855,0.35,1.2249999999999999,0.252579967191042
21,0.12,1.2727922061357855,0.35,1.5749999999999997,0.2694460505816365
22,0.12,1.2727922061357855,0.35,1.9249999999999996,0.2417209005784741
23,0.12,1.2727922061357855,0.35,2.2749999999999995,0.2551342481563388
24,0.12,1.2727922061357855,0.35,2.624999999999999,0.36674602109794496
25,0.12,1.2727922061357855,0.45000000000000007,0.175,0.18985032028858048
26,0.12,1.2727922061357855,0.45000000000000007,0.5249999999999999,0.21151083654613287
27,0.12,1.2727922061357855,0.45000000000000007,0.8749999999999998,0.23297089185195363
28,0.12,1.2727922061357855,0.45000000000000007,1.2249999999999999,0.2782254711335897
29,0.12,1.2727922061357855,0.45000000000000007,1.5749999999999997,0.272486258400913
30,0.12,1.2727922061357855,0.45000000000000007,1.9249999999999996,0.3427974455989682
31,0.12,1.2727922061357855,0.55,0.175,0.22213727915691048
32,0.12,1.2727922061357855,0.55,0.5249999999999999,0.2025192197680332
33,0.12,1.2727922061357855,0.55,0.8749999999999998,0.19514184441375262
34,0.12,1.2727922061357855,0.55,1.2249999999999999,0.2639787643580798
35,0.12,1.2727922061357855,0.55,1.5749999999999997,0.2917791253328798
36,0.12,1.2727922061357855,0.65,0.175,0.18093136128337764
37,0.12,1.2727922061357855,0.65,0.5249999999999999,0.16236224290027182
38,0.12,1.2727922061357855,0.65,0.8749999999999998,0.20076270110541608
39,0.12,1.2727922061357855,0.65,1.2249999999999999,0.31045688055312853
40,0.12,1.2727922061357855,0.7500000000000001,0.5249999999999999,0.17765112878225367
41,0.21,1.3304134695650072,0.15,0.8749999999999998,0.15147335699162995
42,0.21,1.3304134695650072,0.15,1.2249999999999999,0.13517840262175296
43,0.21,1.3304134695650072,0.15,1.5749999999999997,0.10427479004382625
44,0.21,1.3304134695650072,0.15,1.9249999999999996,0.12819240657623468
45,0.21,1.3304134695650072,0.15,2.2749999999999995,0.134216509812202
46,0.21,1.3304134695650072,0.15,2.624999999999999,0.14653120440407602
47,0.21,1.3304134695650072,0.25,0.175,0.13831609318803248
48,0.21,1.3304134695650072,0.25,0.5249999999999999,0.1510381123817794
49,0.21,1.3304134695650072,0.25,0.8749999999999998,0.13312459726007478
50,0.21,1.3304134695650072,0.25,1.2249999999999999,0.1309876016197364
51,0.21,1.3304134695650072,0.25,1.5749999999999997,0.18657543885688785
52,0.21,1.3304134695650072,0.25,1.9249999999999996,0.15700517641197542
53,0.21,1.3304134695650072,0.25,2.2749999999999995,0.15172312344383812
54,0.21,1.3304134695650072,0.25,2.624999999999999,0.14608619906152998
55,0.21,1.3304134695650072,0.25,2.974999999999999,0.13977314731240037
56,0.21,1.3304134695650072,0.35,0.175,0.13378691391788977
57,0.21,1.3304134695650072,0.35,0.5249999999999999,0.16042025955267353
58,0.21,1.3304134695650072,0.35,0.8749999999999998,0.14767196212478315
59,0.21,1.3304134695650072,0.35,1.2249999999999999,0.14950454429479806
60,0.21,1.3304134695650072,0.35,1.5749999999999997,0.18312476936463082
61,0.21,1.3304134695650072,0.35,1.9249999999999996,0.16751044832888767
62,0.21,1.3304134695650072,0.35,2.2749999999999995,0.17955840812427024
63,0.21,1.3304134695650072,0.45000000000000007,0.175,0.11872418486508343
64,0.21,1.3304134695650072,0.45000000000000007,0.5249999999999999,0.14626763095848408
65,0.21,1.3304134695650072,0.45000000000000007,0.8749999999999998,0.16848139690277958
66,0.21,1.3304134695650072,0.45000000000000007,1.2249999999999999,0.1870157344056854
67,0.21,1.3304134695650072,0.45000000000000007,1.5749999999999997,0.17532151233540477
68,0.21,1.3304134695650072,0.45000000000000007,1.9249999999999996,0.20468205328825093
69,0.21,1.3304134695650072,0.55,0.175,0.13454985768147706
70,0.21,1.3304134695650072,0.55,0.5249999999999999,0.11558780477517722
