,x,Q,z,T_t,R2
0,0.12,1.2727922061357855,0.15,0.5249999999999999,0.31004242143591904
1,0.12,1.2727922061357855,0.15,0.8749999999999998,0.22627467587000452
2,0.12,1.2727922061357855,0.15,1.2249999999999999,0.27662485105675166
3,0.12,1.2727922061357855,0.15,1.5749999999999997,0.24863069515825414
4,0.12,1.2727922061357855,0.15,1.9249999999999996,0.3131737374987576
5,0.12,1.2727922061357855,0.15,2.2749999999999995,0.2884508186440857
6,0.12,1.2727922061357855,0.15,2.624999999999999,0.2974628883607496
7,0.12,1.2727922061357855,0.15,2.974999999999999,0.21135992936859616
8,0.12,1.2727922061357855,0.25,0.175,0.20805983371441117
9,0.12,1.2727922061357855,0.25,0.5249999999999999,0.2644214291265566
10,0.12,1.2727922061357855,0.25,0.8749999999999998,0.22209173932998605
11,0.12,1.2727922061357855,0.25,1.2249999999999999,0.23927762451014886
12,0.12,1.2727922061357855,0.25,1.5749999999999997,0.28490751510110346
13,0.12,1.2727922061357855,0.25,1.9249999999999996,0.2585959172131868
14,0.12,1.2727922061357855,0.25,2.2749999999999995,0.2604412993327921
15,0.12,1.2727922061357855,0.25,2.624999999999999,0.2717615262064731
16,0.12,1.2727922061357855,0.25,2.974999999999999,0.3219406607465289
17,0.12,1.2727922061357855,0.35,0.175,0.21892543296687783
18,0.12,1.2727922061357855,0.35,0.5249999999999999,0.2252872238724451
19,0.12,1.2727922061357855,0.35,0.8749999999999998,0.24304370339890383
20,0.12,1.2727922061357855,0.35,1.2249999999999999,0.22066021629113464
21,0.12,1.2727922061357855,0.35,1.5749999999999997,0.22599993661904136
22,0.12,1.2727922061357855,0.35,1.9249999999999996,0.26182626102720075
23,0.12,1.2727922061357855,0.35,2.2749999999999995,0.30841652101307315
24,0.12,1.2727922061357855,0.35,2.624999999999999,0.3474920414304647
25,0.12,1.2727922061357855,0.45000000000000007,0.175,0.2035531811764641
26,0.12,1.2727922061357855,0.45000000000000007,0.5249999999999999,0.18473351802504034
27,0.12,1.2727922061357855,0.45000000000000007,0.8749999999999998,0.19758642353833097
28,0.12,1.2727922061357855,0.45000000000000007,1.2249999999999999,0.23894257659134752
29,0.12,1.2727922061357855,0.45000000000000007,1.5749999999999997,0.25338188259439376
30,0.12,1.2727922061357855,0.45000000000000007,1.9249999999999996,0.26848646214345634
31,0.12,1.2727922061357855,0.55,0.175,0.17928245061912204
32,0.12,1.2727922061357855,0.55,0.5249999999999999,0.18525771778587738
33,0.12,1.2727922061357855,0.55,0.8749999999999998,0.2076768870017496
34,0.12,1.2727922061357855,0.55,1.2249999999999999,0.3231041394407804
35,0.12,1.2727922061357855,0.55,1.5749999999999997,0.3031036987202346
36,0.12,1.2727922061357855,0.65,0.175,0.17625927219954424
37,0.12,1.2727922061357855,0.65,0.5249999999999999,0.1894972539118337
38,0.12,1.2727922061357855,0.65,0.8749999999999998,0.22894226519628455
39,0.12,1.2727922061357855,0.65,1.2249999999999999,0.29682885875557524
40,0.12,1.2727922061357855,0.7500000000000001,0.5249999999999999,0.1703932841899294
41,0.21,1.3304134695650072,0.15,0.8749999999999998,0.1397875997984737
42,0.21,1.3304134695650072,0.15,1.2249999999999999,0.12420137714607782
43,0.21,1.3304134695650072,0.15,1.5749999999999997,0.14289103155132277
44,0.21,1.3304134695650072,0.15,1.9249999999999996,0.12157804215410463
45,0.21,1.3304134695650072,0.15,2.2749999999999995,0.11837191939883933
46,0.21,1.3304134695650072,0.15,2.624999999999999,0.15142987781359227
47,0.21,1.3304134695650072,0.25,0.175,0.1548851152784174
48,0.21,1.3304134695650072,0.25,0.5249999999999999,0.1164171107776137
49,0.21,1.3304134695650072,0.25,0.8749999999999998,0.12013909496348701
50,0.21,1.3304134695650072,0.25,1.2249999999999999,0.1304215542699583
51,0.21,1.3304134695650072,0.25,1.5749999999999997,0.1532544609299742
52,0.21,1.3304134695650072,0.25,1.9249999999999996,0.1745064055277158
53,0.21,1.3304134695650072,0.25,2.2749999999999995,0.1481162525067134
